sample	cancer_type	sample_type	expression
TCGA-2Y-A9H4-01	LIHC	Primary Tumor	5.61
TCGA-2Y-A9H5-01	LIHC	Primary Tumor	5.58
TCGA-2Y-A9H6-01	LIHC	Primary Tumor	5.1
TCGA-2Y-A9H7-01	LIHC	Primary Tumor	6.97
TCGA-2Y-A9H8-01	LIHC	Primary Tumor	6.35
TCGA-2Y-A9H9-01	LIHC	Primary Tumor	5.16
TCGA-2Y-A9HA-01	LIHC	Primary Tumor	5.57
TCGA-2Y-A9HB-01	LIHC	Primary Tumor	6.29
TCGA-2Z-A9J1-01	KIRP	Primary Tumor	5.24
TCGA-2Z-A9J2-01	KIRP	Primary Tumor	4.29
TCGA-2Z-A9J3-01	KIRP	Primary Tumor	5.59
TCGA-2Z-A9J5-01	KIRP	Primary Tumor	4.98
TCGA-2Z-A9J6-01	KIRP	Primary Tumor	5.36
TCGA-2Z-A9J7-01	KIRP	Primary Tumor	5.6
TCGA-2Z-A9J8-01	KIRP	Primary Tumor	5.86
TCGA-2Z-A9J9-01	KIRP	Primary Tumor	5.55
TCGA-2Z-A9JD-01	KIRP	Primary Tumor	5.72
TCGA-2Z-A9JE-01	KIRP	Primary Tumor	5.47
TCGA-2Z-A9JG-01	KIRP	Primary Tumor	5.96
TCGA-2Z-A9JI-01	KIRP	Primary Tumor	5.49
TCGA-2Z-A9JJ-01	KIRP	Primary Tumor	5.19
TCGA-2Z-A9JK-01	KIRP	Primary Tumor	5.93
TCGA-2Z-A9JL-01	KIRP	Primary Tumor	6.06
TCGA-2Z-A9JM-01	KIRP	Primary Tumor	5.77
TCGA-2Z-A9JN-01	KIRP	Primary Tumor	5.96
TCGA-2Z-A9JO-01	KIRP	Primary Tumor	5.43
TCGA-2Z-A9JP-01	KIRP	Primary Tumor	5.58
TCGA-2Z-A9JQ-01	KIRP	Primary Tumor	5.94
TCGA-2Z-A9JR-01	KIRP	Primary Tumor	5.9
TCGA-2Z-A9JS-01	KIRP	Primary Tumor	5.97
TCGA-2Z-A9JT-01	KIRP	Primary Tumor	5.79
TCGA-33-4532-01	LUSC	Primary Tumor	4.68
TCGA-33-4533-01	LUSC	Primary Tumor	5.82
TCGA-33-4538-01	LUSC	Primary Tumor	5.13
TCGA-33-4547-01	LUSC	Primary Tumor	4.69
TCGA-33-4566-01	LUSC	Primary Tumor	5.63
TCGA-33-4579-01	LUSC	Primary Tumor	5.87
TCGA-33-4582-01	LUSC	Primary Tumor	4.52
TCGA-33-4583-01	LUSC	Primary Tumor	4.64
TCGA-33-4586-01	LUSC	Primary Tumor	5.59
TCGA-33-4587-01	LUSC	Primary Tumor	4.91
TCGA-33-4587-11	LUSC	Solid Tissue Normal	6.73
TCGA-33-4589-01	LUSC	Primary Tumor	6.3
TCGA-33-6737-01	LUSC	Primary Tumor	4.31
TCGA-33-6737-11	LUSC	Solid Tissue Normal	6.68
TCGA-33-6738-01	LUSC	Primary Tumor	3.94
TCGA-33-A4WN-01	LUSC	Primary Tumor	5.43
TCGA-33-A5GW-01	LUSC	Primary Tumor	5.28
TCGA-33-AAS8-01	LUSC	Primary Tumor	6.3
TCGA-33-AASB-01	LUSC	Primary Tumor	5.15
TCGA-33-AASD-01	LUSC	Primary Tumor	5.75
TCGA-33-AASI-01	LUSC	Primary Tumor	4.93
TCGA-33-AASJ-01	LUSC	Primary Tumor	4.49
TCGA-33-AASL-01	LUSC	Primary Tumor	4.97
TCGA-34-2596-01	LUSC	Primary Tumor	6.05
TCGA-34-2600-01	LUSC	Primary Tumor	5.91
TCGA-34-2608-01	LUSC	Primary Tumor	5.05
TCGA-34-5231-01	LUSC	Primary Tumor	5.16
TCGA-34-5232-01	LUSC	Primary Tumor	5.57
TCGA-34-5234-01	LUSC	Primary Tumor	6.54
TCGA-34-5236-01	LUSC	Primary Tumor	4.98
TCGA-34-5239-01	LUSC	Primary Tumor	5.95
TCGA-34-5240-01	LUSC	Primary Tumor	4.58
TCGA-34-5241-01	LUSC	Primary Tumor	5.24
TCGA-34-5927-01	LUSC	Primary Tumor	4.81
TCGA-34-5928-01	LUSC	Primary Tumor	4.96
TCGA-34-5929-01	LUSC	Primary Tumor	4.78
TCGA-34-7107-01	LUSC	Primary Tumor	6.36
TCGA-34-7107-11	LUSC	Solid Tissue Normal	5.97
TCGA-34-8454-01	LUSC	Primary Tumor	6.53
TCGA-34-8454-11	LUSC	Solid Tissue Normal	6.61
TCGA-34-8455-01	LUSC	Primary Tumor	5.61
TCGA-34-8456-01	LUSC	Primary Tumor	6.13
TCGA-34-A5IX-01	LUSC	Primary Tumor	5.45
TCGA-35-3615-01	LUAD	Primary Tumor	5.75
TCGA-35-4122-01	LUAD	Primary Tumor	6.02
TCGA-35-4123-01	LUAD	Primary Tumor	6.14
TCGA-35-5375-01	LUAD	Primary Tumor	5.43
TCGA-37-3783-01	LUSC	Primary Tumor	6.39
TCGA-37-3789-01	LUSC	Primary Tumor	6.27
TCGA-37-3792-01	LUSC	Primary Tumor	4.88
TCGA-37-4129-01	LUSC	Primary Tumor	5.95
TCGA-37-4130-01	LUSC	Primary Tumor	4.94
TCGA-37-4132-01	LUSC	Primary Tumor	5.36
TCGA-37-4133-01	LUSC	Primary Tumor	4.72
TCGA-37-4135-01	LUSC	Primary Tumor	5.62
TCGA-37-4141-01	LUSC	Primary Tumor	4.2
TCGA-37-5819-01	LUSC	Primary Tumor	5.96
TCGA-37-A5EL-01	LUSC	Primary Tumor	6.22
TCGA-37-A5EM-01	LUSC	Primary Tumor	5.36
TCGA-37-A5EN-01	LUSC	Primary Tumor	5.59
TCGA-38-4625-01	LUAD	Primary Tumor	6.24
TCGA-38-4625-11	LUAD	Solid Tissue Normal	6.43
TCGA-38-4626-01	LUAD	Primary Tumor	5.82
TCGA-38-4626-11	LUAD	Solid Tissue Normal	5.92
TCGA-38-4627-01	LUAD	Primary Tumor	5.71
TCGA-38-4627-11	LUAD	Solid Tissue Normal	6.39
TCGA-38-4628-01	LUAD	Primary Tumor	6.39
TCGA-38-4629-01	LUAD	Primary Tumor	5.89
TCGA-38-4630-01	LUAD	Primary Tumor	4.57
TCGA-38-4631-01	LUAD	Primary Tumor	4.25
TCGA-38-4632-01	LUAD	Primary Tumor	6.45
TCGA-38-4632-11	LUAD	Solid Tissue Normal	5.56
TCGA-38-6178-01	LUAD	Primary Tumor	7.19
TCGA-38-7271-01	LUAD	Primary Tumor	6.19
TCGA-38-A44F-01	LUAD	Primary Tumor	5.85
TCGA-39-5011-01	LUSC	Primary Tumor	6.06
TCGA-39-5016-01	LUSC	Primary Tumor	5
TCGA-39-5019-01	LUSC	Primary Tumor	5.02
TCGA-39-5021-01	LUSC	Primary Tumor	4.95
